trans_id,lang,translation
Cemetery (Bilohorshcha),uk,Кладовище (Білогорща)
Cemetery (Bilohorshcha),ru,Кладбище (Белогорща)
Cemetery,en,Cemetry
Cemetery,ru,Кладбище
Cemetery,uk,Кладовище
Center,en,Center
Center,ru,Центр
Center,uk,Центр
Center-Airport,en,Center-Airport
Center-Airport,ru,Центр-Аеропорт
Center-Airport,uk,Центр-Аеропорт
Center-Naukova,en,Center-Naukova
Center-Naukova,ru,Центр-Наукова
Center-Naukova,uk,Центр-Наукова
Center-Riashivska,en,Center-Riashivska
Center-Riashivska,ru,Цетр-Ряшевская
Center-Riashivska,uk,Центр-Ряшівська
Center-Subotivska,en,Center-Subotivska
Center-Subotivska,ru,Центр-Субботовская
Center-Subotivska,uk,Центр-Суботівська
Chervonoi Kalyny avenu,ru,Проспект Красной Калины
Chervonoi Kalyny avenu-Kropyvnytskoho,en,Chervonoi Kalyny avenu-Kropyvnytskoho
Chervonoi Kalyny avenu-Kropyvnytskoho,ru,пр. Красной Калины-Кропывницкого
Chervonoi Kalyny avenu-Kropyvnytskoho,uk,Червоної Калини-Кропивницького
Chervonoi Kalyny avenu-Mykolaichuka,en,Chervonoi Kalyny avenu-Mykolaichuka
Chervonoi Kalyny avenu-Mykolaichuka,ru,пр. Красной Калины-Мыколайчука
Chervonoi Kalyny avenu-Mykolaichuka,uk,Червоної Калини-Миколайчука
Chervonoi Kalyny,en,Chervonoi Kalyny
Chervonoi Kalyny,ru,Проспект Красной Калины
Chervonoi Kalyny,uk,Проспект Червоної Калини
Chervonoi Kalyny-Bohdana Khmelnyckoho,en,Chervonoi Kalyny-Bohdana Khmelnyckoho
Chervonoi Kalyny-Bohdana Khmelnyckoho,ru,пр. Красной Калины-Богдана Хмельницкого
Chervonoi Kalyny-Bohdana Khmelnyckoho,uk,Червоної Калини-Богдана Хмельницького
Chervonoi Kalyny-Center(Sunday),en,Chervonoi Kalyny-Center(Sunday)
Chervonoi Kalyny-Center(Sunday),ru,пр. Красной Калины-Центр (Восресенье)
Chervonoi Kalyny-Center(Sunday),uk,Червоної Калини-Центр (Неділя)
Chervonoi Kalyny-Center,en,Chervonoi Kalyny-Center
Chervonoi Kalyny-Center,ru,пр. Красной Калины-Центр
Chervonoi Kalyny-Center,uk,пр.Червоної Калини-Центр
Chervonoyi Kalyny avenu,en,Chervonoyi Kalyny avenu
Chervonoi Kalyny avenu,uk,Проспект Червоної Калини
Chornovola avenu,en,Chornovola avenu
Chornovola avenu,ru,пр. Чорновола
Chornovola avenu,uk,пр. Чорновола
Chornovola-Lypynskoho,en,Chornovola-Lypynskoho
Chornovola-Lypynskoho,ru,Черновола-Липинского
Chornovola-Lypynskoho,uk,Чорновола-Липинського
Chornovola-Varshavska,en,Chornovola-Varshavska
Chornovola-Varshavska,ru,Черновола-Варшавская
Chornovola-Varshavska,uk,Чорновола-Варшавська
Chukarina,en,Chukarina
Chukarina,ru,Чукарина
Chukarina,uk,Чукаріна
Chyhyrynska,en,Chyhyrynska
Chyhyrynska,ru,Чигиринская
Chyhyrynska,uk,Чигиринська
Clinic,en,Clinic
Clinic,ru,Больница скорой помощи
Clinic,uk,Лікарня Швидкої Допомоги
College of Communication,en,College of Communication
College of Communication,ru,Техникум связи
College of Communication,uk,Технікум зв'язку
Collehe of Technology,en,Collehe of Technology
Collehe of Technology,ru,Технологический колледж
Collehe of Technology,uk,Технологічний коледж
DBK,en,DBK
DBK,ru,ДБК
DBK,uk,ДБК
Demianska,en,Demianska
