Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
проспект Перемоги,пр. Перемоги,"Перемоги просп., 77",Перемоги просп.,кінцева,Дзерж.,●,,
проспект Перемоги,пр. Перемоги,"Перемоги просп., 75",Перемоги просп.,до центру,Дзерж.,●,,
проспект Перемоги,пр. Перемоги,"Перемоги просп., 75",Перемоги просп.,до центру,Дзерж.,,,●
проспект Перемоги,пр. Перемоги,"Перемоги просп., 76",Перемоги просп.,від центра,Дзерж.,,,●
проспект Перемоги,пр. Перемоги,"Перемоги просп., 76",Перемоги просп.,від центра,Дзерж.,●,,
Сонячна,вул. Сонячна,"Перемоги просп., 73а",Перемоги просп.,до центру,Дзерж.,,,●
Сонячна,вул. Сонячна,"Перемоги просп., 73а",Перемоги просп.,до центру,Дзерж.,●,,
Сонячна,вул. Сонячна,"Перемоги просп., 74",Перемоги просп.,від центра,Дзерж.,,,●
Сонячна,вул. Сонячна,"Перемоги просп., 74",Перемоги просп.,від центра,Дзерж.,●,,
Шкільна,вул. Шкільна,"Перемоги просп., 67",Перемоги просп.,від центра,Дзерж.,●,,
Шкільна,вул. Шкільна,"Перемоги просп., 67",Перемоги просп.,від центра,Дзерж.,,,●
Шкільна,вул. Шкільна,"Перемоги просп., 68",Перемоги просп.,до центру,Дзерж.,●,,
Шкільна,вул. Шкільна,"Перемоги просп., 68",Перемоги просп.,до центру,Дзерж.,,,●
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 61",Перемоги просп.,до центру,Дзерж.,●,,
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 61",Перемоги просп.,до центру,Дзерж.,,,●
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 64",Перемоги просп.,від центра,Дзерж.,●,,
проспект Людвіга Свободи,пр. Людвіга Свободи ,"Перемоги просп., 64",Перемоги просп.,від центра,Дзерж.,,,●
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 55",Перемоги просп.,від центра,Дзерж.,●,,
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 55",Перемоги просп.,від центра,Дзерж.,,,●
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 52",Перемоги просп.,до центру,Дзерж.,●,,
Банківський інститут,"Банківський інститут, Молодіжна","Перемоги просп., 52",Перемоги просп.,до центру,Дзерж.,,,●
Студмістечко,Студмістечко,"Цілиноградська вул., 50",Ахсарова вул.,до просп. Л. Свободи,Дзерж.,●,,
Студмістечко,Студмістечко,"Ахсарова вул., 11",Ахсарова вул.,до вул. Клочківської,Дзерж.,●,,
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 358",Перемоги просп.,до центру,Дзерж.,,,●
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 337",Клочківська вул.,від центра,Дзерж.,,,●
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 337а",Клочківська вул.,до центру,Дзерж.,●,,
Обласна дитяча лікарня,Обласна дитяча лікарня,"Клочківська вул., 352",Перемоги просп.,від центра,Дзерж.,●,,
вулиця Котельниківська ,Дитяча поліклініка № 7,"Клочківська вул., 364",Клочківська вул.,кінцева,Дзерж.,●,,
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Клочківська вул., 346а",Клочківська вул.,до центру,Дзерж.,●,,
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Клочківська вул., 346а",Клочківська вул.,до центру,Дзерж.,,,●
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Фронтовиків б-р, 1",Клочківська вул.,від центра,Дзерж.,●,,
бульвар Фронтовиків,"б-р Фронтовиків, Школа ","Клочківська вул., 346а",Клочківська вул.,від центра,Дзерж.,,,●
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 335",Клочківська вул.,до центру,Дзерж.,●,,
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 335",Клочківська вул.,до центру,Дзерж.,,,●
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 332",Клочківська вул.,від центра,Дзерж.,●,,
Університет харчування та торгівлі,"Університет харчування та торгівлі, к/т-р «Сучасник»","Клочківська вул., 335",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Олексіївська,вул. Олексіївська,"Клочківська вул., 280/1",Клочківська вул.,від центра,Дзерж.,●,,
вулиця Олексіївська,вул. Олексіївська,"Клочківська вул., 337",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Олексіївська,вул. Олексіївська,"Клочківська вул., 337",Клочківська вул.,до центру,Дзерж.,●,,
вулиця Олексіївська,вул. Олексіївська,"Клочківська вул., 337",Клочківська вул.,до центру,Дзерж.,,,●
Олексіївська балка,"Олексіївська балка, Завод харчових кислот","Клочківська вул., 309",Клочківська вул.,до центру,Дзерж.,,,●
Олексіївська балка,"Олексіївська балка, Завод харчових кислот","Клочківська вул., 309",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Кузнецька ,вул. Кузнецька,"Кузнецька вул., 95",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Кузнецька ,вул. Кузнецька,"Кузнецька вул., 95",Клочківська вул.,до центру,Дзерж.,,,●
вулиця 23-го Серпня,вул. Двадцять Третього Серпня,"Клочківська вул., 259б",Клочківська вул.,до центру,Дзерж.,●,,
вулиця 23-го Серпня,вул. Двадцять Третього Серпня,"Клочківська вул., 259б",Клочківська вул.,до центру,Дзерж.,,,●
вулиця 23-го Серпня,вул. Двадцять Третього Серпня,"Клочківська вул., 230",Клочківська вул.,від центра,Дзерж.,●,,
вулиця 23-го Серпня,вул. Двадцять Третього Серпня,"Клочківська вул., 259б",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Тобольська,вул. Тобольська,"Клочківська вул., 224",Клочківська вул.,від центра,Дзерж.,●,,
вулиця Тобольська,вул. Тобольська,"Казахстанська, 3",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Тобольська,вул. Тобольська,"Казахстанська, 4",Клочківська вул.,до центру,Дзерж.,●,,
вулиця Тобольська,вул. Тобольська,"Казахстанська, 4",Клочківська вул.,до центру,Дзерж.,,,●
вулиця Новгородська,вул. Новгородська,"Клочківська вул., 199",Клочківська вул.,до центру,Дзерж.,●,,
вулиця Новгородська,вул. Новгородська,"Клочківська вул., 199",Клочківська вул.,до центру,Дзерж.,,,●
вулиця Новгородська,вул. Новгородська,"Клочківська вул., 190",Клочківська вул.,від центра,Дзерж.,●,,
вулиця Новгородська,вул. Новгородська,"Клочківська вул., 199",Клочківська вул.,від центра,Дзерж.,,,●
Соснова Гірка,Соснова гірка,"Клочківська вул., 174",Клочківська вул.,від центра,Дзерж.,●,,
Соснова Гірка,Соснова гірка,"Клочківська вул., 195",Клочківська вул.,від центра,Дзерж.,,,●
Соснова Гірка,Соснова гірка,"Клочківська вул., 195",Клочківська вул.,до центру,Дзерж.,,,●
Соснова Гірка,Соснова гірка,"Клочківська вул., 195",Клочківська вул.,до центру,Дзерж.,●,,
вулиця Павлівська,"вул. Павлівська, вул. Космічна","Клочківська вул., 159",Клочківська вул.,до центру,Дзерж.,●,,
вулиця Павлівська,"вул. Павлівська, вул. Космічна","Клочківська вул., 159",Клочківська вул.,до центру,Дзерж.,,,●
вулиця Павлівська,"вул. Павлівська, вул. Космічна","Клочківська вул., 119а",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Павлівська,"вул. Павлівська, вул. Космічна","Клочківська вул., 140",Клочківська вул.,від центра,Дзерж.,●,,
вулиця Херсонська,вул. Херсонська,"Клочківська вул., 111а",Клочківська вул.,до центру,Дзерж.,,,●
вулиця Херсонська,вул. Херсонська,"Клочківська вул., 111а",Клочківська вул.,до центру,Дзерж.,,,●
вулиця Херсонська,вул. Херсонська,"Клочківська вул., 111а",Клочківська вул.,від центра,Дзерж.,,,●
вулиця Херсонська,вул. Херсонська,"Клочківська вул., 111а",Клочківська вул.,від центра,Дзерж.,●,,
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 99",Клочківська вул.,від центра,Дзерж.,●,,
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 97",Клочківська вул.,від центра,Дзерж.,,,●
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 97",Клочківська вул.,до центру,Дзерж.,●,,
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 99",Клочківська вул.,до центру,Дзерж.,,,●
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 104а",Пасіонарії узв.,до Південного Вокзалу,Дзерж.,●,,
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 104а",Пасіонарії узв.,до Південного Вокзалу,Дзерж.,,,●
узвіз Пассіонарії,узв. Пассіонарії,"Клочківська вул., 104а",Пасіонарії узв.,до вул. Сумської,Дзерж.,●,,
вулиця Лялі Убийвовк,Школа № 22,"Клочківська вул., 328",Лялі Убийвовк вул.,до вул. Цілиноградської,Дзерж.,●,,
вулиця Лялі Убийвовк,Школа № 22,"Клочківська вул., 335",Клочківська вул.,до центру,Дзерж.,●,,
проїзд Рогатинський,"Рогатинський проїзд, З-д торгівельного машинобудування","Клочківська вул., 67",Рогатинський пр-д,до вул. Клочківської,Дзерж.,●,,●
проїзд Рогатинський,"Рогатинський проїзд, З-д торгівельного машинобудування","Клочківська вул., 65",Рогатинський пр-д,до Південного Вокзалу,Дзерж.,●,,●
вулиця Ботанічна,"Каскад, Ботанічний сад","Клочківська вул., 43/47",Клочківська вул.,до узв. Пассіонарії,Дзерж.,●,,
вулиця Ботанічна,"Каскад, Ботанічний сад","Клочківська вул., 52",Клочківська вул.,до центру,Дзерж.,●,,
Бурсацький узвіз,Бурсацький узв.,"Клочківська вул., 9",Клочківська вул.,на Олексіївку,Дзерж.,●,,
Бурсацький узвіз,Бурсацький узв.,"Клочківська вул., 16",Клочківська вул.,до центру,Дзерж.,●,,
Бурсацький узвіз,Бурсацький узв.,"Клочківська вул., 23",Бурсацький узв.,до Центрального ринку,Дзерж.,●,,
майдан Пролетарський,м-н Пролетарський,Пролетарський м-н,Пролетарський м-н,до Центрального ринку,Дзерж.,●,,
майдан Пролетарський,м-н. Пролетарський,Пролетарський м-н,Пролетарський м-н,до Центрального ринку,Дзерж.,,,●
майдан Пролетарський,м-н. Пролетарський,Пролетарський м-н,Пролетарський м-н,до центру,Дзерж.,●,,
майдан Пролетарський,м-н. Пролетарський,Пролетарський м-н,Пролетарський м-н,до центру,Дзерж.,,,●
Держпром,Держпром,"Правди просп., 4",Правди просп.,до вул. Сумської,Дзерж.,●,,
Держпром,Держпром,"Правди просп., 4",Правди просп.,до Лісопарку,Дзерж.,,,●
Держпром,Держпром,"Правди просп., 4",Правди просп.,до Південного Вокзалу,Дзерж.,,,●
вулиця Трінклера,"Обласна клінічна лікарня, ст.м. «Університет»","Трінклера вул., 3",Трінклера вул.,до Південного Вокзалу,Дзерж.,,,●
вулиця Трінклера,"Обласна клінічна лікарня, ст.м. «Університет»","Трінклера вул., 6",Трінклера вул.,до Лісопарку,Дзерж.,,,●
вулиця Культури,Сумський ринок,"Трінклера вул., 14",Трінклера вул.,до Лісопарку,Дзерж.,,,●
вулиця Культури,Сумський ринок,"Культури вул., 8",Трінклера вул.,до Південного Вокзалу,Дзерж.,,,●
вулиця Сумська,вул. Сумська,"Сумська вул., 69",Маяковського вул.,до Лісопарку,Дзерж.,,,●
проспект Перемоги,просп. Перемоги,"Перемоги просп., 62",Людвіга Свободи просп.,кінцева,Дзерж.,●,●,
336-й мікрорайон,просп. Перемоги (торговий комплекс),"Людвіга Свободи просп., 41",Людвіга Свободи просп.,до центру,Дзерж.,●,●,
337-й мікрорайон,просп. Перемоги (торговий комплекс),"Людвіга Свободи просп., 52а",Людвіга Свободи просп.,від центра,Дзерж.,●,●,
проспект Людвіга Свободи,просп. Людвіга Свободи ,"Людвіга Свободи просп., 46",Людвіга Свободи просп.,від центра,Дзерж.,●,●,
проспект Людвіга Свободи,просп. Людвіга Свободи ,"Людвіга Свободи просп., 37",Людвіга Свободи просп.,до центру,Дзерж.,●,●,
АТС 336,АТС 336,"Людвіга Свободи просп., 35",Людвіга Свободи просп.,до центру,Дзерж.,●,●,
"станція метро ""Олексіївська""","Олексіївська, маг. «Кооператор»","Людвіга Свободи просп., 30",Ахсарова вул.,до центру,Дзерж.,●,●,
"станція метро ""Олексіївська""","Олексіївська, маг. «Кооператор»","Людвіга Свободи просп., 34",Людвіга Свободи просп.,від центра,Дзерж.,●,●,
вулиця Білогорська,"вул. Білогорська, маг. «Топольок»","Ахсарова вул., 18",Ахсарова вул.,від центра,Дзерж.,●,●,
вулиця Білогорська,"вул. Білогорська, маг. «Топольок»","Ахсарова вул., 21",Ахсарова вул.,до центру,Дзерж.,●,●,
Різдвяна церква,"Різдвяний собор, Інститут низьких температур","Леніна просп., 65",Леніна просп.,до центру,Дзерж.,●,●,
Різдвяна церква,"Різдвяний собор, Інститут низьких температур","Леніна просп., 88/90",Леніна просп.,від центра,Дзерж.,●,●,
Інститут низьких температур,Інститут низьких температур,"Леніна просп., 47",Леніна просп.,до центру,Дзерж.,●,●,
"станція метро ""23-го Серпня""","ст.м. ""23-го Серпня""","Леніна просп., 45/2",Леніна просп.,Олексіївська,Дзерж.,,●,
"станція метро ""23-го Серпня""","ст.м. ""23-го Серпня""","Леніна просп., 43б",Леніна просп.,від центра,Дзерж.,●,●,
"станція метро ""23-го Серпня""","ст.м. ""23-го Серпня"" (кільце)","Леніна просп., 64",Леніна просп.,центр,Дзерж.,,●,
"станція метро ""23-го Серпня""","ст.м. ""23-го Серпня""","Леніна просп., 43",Леніна просп.,до центру,Дзерж.,●,●,
вулиця Тобольська,вул. Тобольська,"Леніна просп., 37/49",Леніна просп.,до центру,Дзерж.,●,,
вулиця Тобольська,вул. Тобольська,"Леніна просп., 56",Леніна просп.,від центра,Дзерж.,●,,
станція метро «Ботанічний Сад»,ст.м. «Ботанічний сад»,"Отакара Яроша вул., 22",Отакара Яроша вул.,до вул. Дерев'янка,Дзерж.,●,,
станція метро «Ботанічний Сад»,ст.м. «Ботанічний сад»,"Отакара Яроша вул., 22",Леніна просп.,від центра,Дзерж.,●,●,
станція метро «Ботанічний Сад»,ст.м. «Ботанічний сад»,"Леніна просп., 27а",Леніна просп.,до центру,Дзерж.,●,●,
вулиця Новгородська ,вул. Новгородська,"Леніна просп., 23",Леніна просп.,до центру,Дзерж.,●,●,
вулиця Новгородська ,вул. Новгородська,"Леніна просп., 36",Леніна просп.,від центра,Дзерж.,●,●,
вулиця Космічна,вул. Космічна,"Леніна просп., 24",Леніна просп.,від центра,Дзерж.,●,●,
вулиця Космічна,вул. Космічна,"Леніна просп., 17",Леніна просп.,до центру,Дзерж.,●,●,
"станція метро ""Наукова""",ст.м. «Наукова»,"Леніна просп., 7в",Леніна просп.,до центру,Дзерж.,●,●,
"станція метро ""Наукова""",ст.м. «Наукова»,"Леніна просп., 14",Леніна просп.,від центра,Дзерж.,●,●,
вулиця Данилевського,вул. Данилевського,"Леніна просп., 10",Леніна просп.,від центра,Дзерж.,●,●,
вулиця Чичибабіна,вул. Чичибабіна,"Леніна просп., 3",Леніна просп.,до центру,Дзерж.,●,●,
"станція метро ""Держпром""",м-н Свободи,Свободи м-н,Свободи м-н,кінцева (біля виходу метро),Дзерж.,●,●,
вулиця Трінклера,вул. Трінклера,"Трінклера вул., 3",Правди просп.,на Олексіївку,Дзерж.,●,●,
"станція метро ""Держпром""",м-н Свободи,Свободи м-н,Свободи м-н,до вул. Сумської,Дзерж.,●,,
"станція метро ""Університет""",ст.м. «Університет»,"Правди просп., 10а",Правди просп.,до вул. Сумської,Дзерж.,●,●,
вулиця Сумська,вул. Сумська,"Сумська вул., 86",Сумська вул.,до просп. Правди,Дзерж.,●,●,
вулиця Маяковського,вул. Маяковського,"Сумська вул., 110",Сумська вул.,до просп. Правди,Дзерж.,●,●,
Парк ім. Горького,парк ім. Горького,"Сумська вул., 81",Сумська вул.,до центру,Дзерж.,●,●,
Дитяча залізниця,Дитяча залізниця,"Сумська вул., 81",Сумська вул.,до центру,Дзерж.,●,●,
Сокільники,Сокільники,"Сумська вул., 83",Сумська вул.,до центру,Дзерж.,●,●,
Сокільники,Сокільники,"Сокільницька вул., 28",Дерев'янка вул.,на Павлове Поле,Дзерж.,●,●,
Меморіал Слави,Меморіал Слави,Білгородське шосе,Білгородське шосе,до центру,Дзерж.,●,●,
вулиця Макаренка,Підстанція (вул. Макаренка),"Білгородське шосе, 7а",Білгородське шосе,до центру,Дзерж.,●,●,
Лісопарк,Лісопарк,"Білгородське шосе, 1а",Білгородське шосе,до центру,Дзерж.,●,●,
вулиця Балакірєва,вул. Балакірєва,"Дерев'янка вул., 7",Дерев'янка вул.,на Павлове Поле,Дзерж.,●,●,
вулиця Балакірєва,вул. Балакірєва,"Дерев'янка вул., 58",Дерев'янка вул.,на Сокольники,Дзерж.,●,●,
вулиця Балакірєва,вул. Балакірєва,"Дерев'янка вул., 17",Балакірєва вул.,до Інституту невідкладної хірургії,Дзерж.,●,●,
Лікарня швидкої допомоги,Лікарня швидкої та невідкладної допомоги,"Балакірєва пров., 3",Балакірєва пров.,до вул. Дерев'янка,Дзерж.,●,●,
вулиця Новопрудна ,"вул. Новопрудна, маг. «Сантехніка»","Дерев'янка вул., 38",Дерев'янка вул.,до Сокольників,Дзерж.,●,●,
вулиця Новопрудна ,"вул. Новопрудна, маг. «Сантехніка»","Дерев'янка вул., 1",Дерев'янка вул.,на Павлове Поле,Дзерж.,●,●,
Діброва,Діброва,"Дерев'янка вул., 6",Дерев'янка вул.,на Олексіївку,Дзерж.,●,●,
Діброва,Діброва,"Дерев'янка вул., 12",Дерев'янка вул.,до Сокольників,Дзерж.,●,●,
вулиця Космонавтів,вул. Космонавтів,"Космонавтів вул., 6",Космонавтів вул.,до Сокольників,Дзерж.,●,●,
вулиця Космонавтів,вул. Космонавтів,"Космонавтів вул., 5",Космонавтів вул.,до вул. Клочківської,Дзерж.,●,●,
Павлове Поле,"Павлове Поле, 5-й мікрорайон","Двадцять Третього Серпня вул., 51",Двадцять Третього Серпня вул.,до вул. Клочківської,Дзерж.,●,●,
Павлове Поле,"Павлове Поле, 5-й мікрорайон","Двадцять Третього Серпня вул., 38",Двадцять Третього Серпня вул.,до Сокольників,Дзерж.,●,●,
"станція метро ""23-го Серпня""",ст.м. «Двадцять Третього Серпня»,"Двадцять Третього Серпня вул., 30",Двадцять Третього Серпня вул.,до Сокольників,Дзерж.,●,●,
"станція метро ""23-го Серпня""",ст.м. «Двадцять Третього Серпня»,"Двадцять Третього Серпня вул., 33б",Двадцять Третього Серпня вул.,до вул. Клочківської,Дзерж.,●,●,
вулиця Шекспіра,"вул. Шекспіра, 26-а поліклініка","Двадцять Третього Серпня вул., 23а",Двадцять Третього Серпня вул.,до вул. Клочківської,Дзерж.,●,●,
вулиця Шекспіра,"вул. Шекспіра, 26-а поліклініка","Двадцять Третього Серпня вул., 12",Двадцять Третього Серпня вул.,до просп. Леніна,Дзерж.,●,●,
вулиця Клочківська ,вул. Клочківська,"Двадцять Третього Серпня вул., 1",Двадцять Третього Серпня вул.,до вул. Клочківської,Дзерж.,●,●,
вулиця Клочківська ,вул. Клочківська,"Двадцять Третього Серпня вул., 2",Двадцять Третього Серпня вул.,до просп. Леніна,Дзерж.,●,●,
Сад ім. Т.Г. Шевченка,Сад ім. Т.Г.Шевченка,"Сумська вул., 35",Сумська вул.,до центру,Дзерж.,●,●,
"будинок ""Саламандра""","маг. ""Саламандра"", Радіотехнікум","Сумська вул., 17",Сумська вул.,до центру,Дзерж.,●,●,
майдан Конституції,м-н Конституції (вул. Університетська),"Конституції м-н, 11/13",Конституції м-н,до просп. Гагаріна,Дзерж.,●,●,
Різдвяна церква,Різдвяний собор,"Леніна просп., 65б",Дерев'янка вул.,на Олексіївку,Дзерж.,●,●,
Різдвяна церква,Різдвяний собор,"Леніна просп., 92",Дерев'янка вул.,до Сокольників,Дзерж.,●,●,
Лікарня швидкої допомоги,Інститут невідкладної хірургії,"Балакірєва пров., 3",Балакірєва пров.,висадка,Дзерж.,●,●,
майдан Конституції,пров. Спартаківський,Спартаківський пров.,Спартаківський пров.,посадка,Дзерж.,●,,
майдан Конституції,пров. Спартаківський,"Квітки-Основ'яненка вул., 1",Спартаківський пров.,висадка,Дзерж.,●,●,
майдан Конституції,м-н Конституції,"Конституції м-н, 20",Конституції м-н,кільце,Київ.,●,,
майдан Конституції,м-н Конституції,"Конституції м-н, 22",Конституції м-н,до центру,Київ.,●,,
провулок Короленка,пров. Слюсарний,"Короленка пров., 10",Короленка пров.,до просп. Московського,Київ.,●,,
вулиця Університетська ,вул. Університетська,"Університетська вул., 5",Університетська вул.,до узв. Бурсацького,Дзерж.,●,,
майдан Рози Люксембург,м-н Рози Люксембург (маг. «Корона»),"Рози Люксембург м-н, 5",Рози Люксембург м-н,до Центрального ринку,Дзерж.,●,●,
майдан Рози Люксембург,м-н Рози Люксембург,"Рози Люксембург м-н, 5",Університетська вул.,до пров. Спартаковського,Дзерж.,●,,
провулок Плетнівський,пров. Плетнівський,"Плетнівський пров., 2",Плетнівський пров.,до вул. Гамарника,Червзв.,●,●,
проспект Людвіга Свободи,"просп. .Людвига Свободи, Олексіївський ринок","Перемоги просп., 60",Людвіга Свободи просп.,до метро,Дзерж.,●,,
провулок Костюринський,пров. Костюринський,"Костюринський пров., 2",Костюринський пров.,до просп. Гагаріна,Червзв.,●,,
Дитячий санаторій,Дитячий санаторій,Черкасько-Лозівська сільрада,-,кінцева,-,●,,
Канатна дорога,Канатна дорога (5-й мікрорайон),"Двадцять Третього Серпня вул., 79",Отакара Яроша вул.,до просп. Леніна,Дзерж.,●,,
Канатна дорога,Канатна дорога (5-й мікрорайон),Отакара Яроша вул.,Отакара Яроша вул.,до вул. Дерев'янка,Дзерж.,●,,
Ботанічний сад,Ботанічний сад,"Отакара Яроша вул., 51",Отакара Яроша вул.,до просп. Леніна,Дзерж.,●,,
Ботанічний сад,Ботанічний сад,Отакара Яроша вул.,Отакара Яроша вул.,до вул. Дерев'янка,Дзерж.,●,,
Олексіївський ринок,Олексіївський ринок,"Перемоги просп., 61",Людвіга Свободи просп.,від ТЦ Метро,Дзерж.,●,,
вулиця Архітекторів,Олексіївський ринок,"Людвіга Свободи просп., 62",Людвіга Свободи просп.,до ТЦ Метро,Дзерж.,●,,
Лозовенька,ТЦ Метро,Окружна дорога,Окружна дорога,кінцева,Дзерж.,●,,
вулиця Маяковського,вул. Маяковського,"Сумська вул., 110",Сумська вул.,до сел. Жуковського,Київ.,●,●,
Парк ім. Горького,парк ім. Горького,"Сумська вул., 130",Сумська вул.,до сел. Жуковського,Київ.,●,●,
Дитяча залізниця,Дитяча залізниця,"Сумська вул., 132",Сумська вул.,до сел. Жуковського,Київ.,●,●,
Сокільники,Сокільники,"Сумська вул., 134",Сумська вул.,до сел. Жуковського,Київ.,●,●,
Лісопарк,Лісопарк,"Білгородське шосе, 8",Білгородське шосе,до сел. Жуковського,Київ.,●,●,
вулиця Чкалова,вул. Чкалова,"Проскури вул., 2",Проскури вул.,до сел. Жуковського,Київ.,●,●,
Білгородське шосе,Білгородське шосе,"Проскури вул., 1б",Проскури вул.,до центру,Київ.,●,●,
вулиця Чкалова,вул. Чкалова,Проскури вул.,Проскури вул.,до вул. Рудіка,Київ.,●,●,
Литвинівка,Литвинівка,"Проскури вул., 10",Проскури вул.,до сел. Жуковського,Київ.,●,●,
Литвинівка,Литвинівка,"Проскури вул., 1",Проскури вул.,до центру,Київ.,●,●,
вулиця Проскури,вул. Академіка Проскури (ХАІ),"Проскури вул., 3а",Проскури вул.,до центру,Київ.,●,●,
вулиця Проскури,вул. Академіка Проскури (ХАІ),"Проскури вул., 12",Проскури вул.,до сел. Жуковського,Київ.,●,●,
проспект Жуковського,просп. Жуковського,"Проскури вул., 12",Проскури вул.,"кінцева, висадка",Київ.,●,●,
проспект Жуковського,просп. Жуковського,"Проскури вул., 7а",Проскури вул.,до центру,Київ.,●,●,
Харківський авіаційний інститут,Харківський авіаційний інститут,"Чкалова вул., 15",Чкалова вул.,до вул. Рудика (до ст. м. Героїв праці),Київ.,●,●,
Харківський авіаційний інститут,Харківський авіаційний інститут,"Чкалова вул., 15",Чкалова вул.,до центру,Київ.,●,●,
вулиця Старошишківська,вул. Старошишківська,"Лісопарківська вул., 7",Лісопарківська вул.,до вул. Рудика,Київ.,●,●,
вулиця Старошишківська,вул. Старошишківська,"Лісопарківська вул., 7",Лісопарківська вул.,до центру,Київ.,●,●,
вулиця Рудика,вул. Рудика,"Рудика вул., 1",Лісопарківська вул.,"кінцева, висадка",Київ.,●,●,
вулиця Рудика,вул. Рудика,"Рудика вул., 1",Лісопарківська вул.,"кінцева, висадка",Київ.,●,●,
Театр опери та балету ім. Лисенка,ХАТОБ,"Сумська вул., 34",Сумська вул.,від центра,Київ.,●,●,
вулиця Дружби Народів,вул. Дружби Народів,"Гвардійців-Широнінців вул., 90",Гвардійців-Широнінців вул.,до вул. Н. Ужвій,Київ.,●,●,
вулиця Дружби Народів,вул. Дружби Народів,"Гвардійців-Широнінців вул., 111",Гвардійців-Широнінців вул.,до вул. Героїв Праці,Київ.,●,●,
вулиця Метробудівників,вул. Метробудівників,"Метробудівників вул., 3а",Гвардійців-Широнінців вул.,до вул. Героїв Праці,Київ.,●,●,
вулиця Метробудівників,вул. Метробудівників,"Гвардійців-Широнінців вул., 102",Гвардійців-Широнінців вул.,до вул. Н. Ужвій,Київ.,●,●,
Північна Салтівка,"Північна Салтівка, вул. Н. Ужвій","Ужвій вул., 94",Гвардійців-Широнінців вул.,висадка,Київ.,●,●,
Північна Салтівка,"Північна Салтівка, вул. Н. Ужвій","Ужвій вул., 92",Гвардійців-Широнінців вул.,посадка,Київ.,●,●,
вулиця Героїв Праці,вул. Героїв Праці,"Барабашова вул., 46",Барабашова вул.,висадка,Київ.,●,●,
вулиця Героїв Праці,вул. Героїв Праці,"Барабашова вул., 44",Барабашова вул.,до ст. м. «Студентська»,Київ.,●,●,
Педагогічний університет,Педагогічний університет,"Блюхера вул., 1",Блюхера вул.,до ст. м. «Студентська»,Київ.,●,●,
Педагогічний університет,Педагогічний університет,"Блюхера вул., 1",Блюхера вул.,до вул. Героїв Праці,Київ.,●,●,
Фармацевтичний університет,Фармацевтичний університет,"Блюхера вул., 9",Блюхера вул.,до вул. Героїв Праці,Київ.,●,●,
Фармацевтичний університет,Фармацевтичний університет,"Блюхера вул., 4",Блюхера вул.,до ст.м. «Студентська»,Київ.,●,●,
"станція метро ""Студентська""",ст.м. «Студентська»,"Академіка Павлова вул., 305",Блюхера вул.,до вул. Героїв Праці,Київ.,●,●,
вулиця Стасової,вул. Олени Стасової,"Якіра вул., 147",Якіра вул.,до універмагу «Харків»,Київ.,●,●,
вулиця З'єднана ,вул. З'єднана ,"Якіра вул., 93",Якіра вул.,до універмагу «Харків»,Київ.,●,●,
вулиця Віринська,вул. Вєринская,"Якіра вул., 27",Якіра вул.,до універмагу «Харків»,Київ.,●,●,
вулиця Якіра,універмаг «Харків»,"Московський просп., 135а",Якіра вул.,до Кінного ринку,Київ.,●,,
вулиця Сумська,вул. Сумська,"Сумська вул., 78",Сумська вул.,до Міського парку,Київ.,●,●,
станція метро «Академіка Барабашова»,ст.м. «Академіка Барабашова»,Амурська вул.,Амурська вул.,"висадка, до вул. Якіра",Київ.,●,●,
станція метро «Академіка Барабашова»,ст.м. «Академіка Барабашова»,"Амурська вул., 2а",Амурська вул.,посадка,Київ.,●,●,
