Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
вулиця Ужвій,Міліція,"Ужвій вул., 70",Ужвій вул.,вул. Н. Ужвій,Київ.,●,,
сел. Жуковського,сел. Жуковського,"Жуковського просп., 10",Жуковського просп.,до Лісопарку,Київ.,●,,
вулиця Чкалова,вул. Чкалова,"Чкалова вул., 1",Чкалова вул.,до Лісопарку,Київ.,●,,
вулиця Чебишева,вул. Чебишева,"Чебишева вул., 6",Чебишева вул.,в бік Жилярді,Київ.,●,,
вулиця Астрономічна,вул. Астрономічна (Військове містечко),"Астрономічна вул., 35ж",Астрономічна вул.,висадка,Київ.,●,,
вулиця Сонячногірська,маг. «Поляна»,"Астрономічна вул., 33",Астрономічна вул.,до вул. Проскури,Київ.,●,,
вулиця Сонячногірська,маг. «Поляна»,"Астрономічна вул., 44б",Астрономічна вул.,від Проскури,Київ.,●,,
вулиця Жилярді,вул. Жилярді,"Ковпака вул., 36",Ковпака вул.,до вул. Паризької Комуни,Київ.,●,,
вулиця Жилярді,вул. Жилярді,"Ковпака вул., 57",Ковпака вул.,до вул. Шевченка,Київ.,●,,
провулок Соколовський,пров. Соколовський,"Ковпака вул., 104",Ковпака вул.,до вул. Паризької Комуни,Київ.,●,,
вулиця Челюскіна (хут. Бочанка),Данилівка-1 (Магазин Бочанка),"Ковпака вул., 179",Ковпака вул.,до вул. Шевченка,Київ.,●,,
вулиця Челюскіна (хут. Бочанка),Данилівка-1 (Магазин Бочанка),"Ковпака вул., 166",Ковпака вул.,до вул. Паризької Комуни,Київ.,●,,
вулиця Горянська,вул. Горянська (Колодязь),"Паризької Комуни вул., 77",Паризької Комуни вул.,до вул. Шевченка,Київ.,●,,
вулиця Горянська,вул. Горянська (Колодязь),"Паризької Комуни вул., 68",Паризької Комуни вул.,до вул.. Колосистої,Київ.,●,,
вулиця Паризької Комуни,вул. Колосиста (дитсадок),"Народовладдя вул., 2",Паризької Комуни вул.,до вул. Шевченка,Київ.,●,,
вулиця Паризької Комуни,вул. Колосиста (дитсадок),"Паризької Комуни вул., 6",Паризької Комуни вул.,до вул. Горянської,Київ.,●,,
Покровська церква,Данилівка-2 (церква),"Паризької Комуни вул., 34",Паризької Комуни вул.,до вул. Колосистої,Київ.,●,,
Покровська церква,Данилівка-2 (церква),"Паризької Комуни вул., 23а",Паризької Комуни вул.,до вул. Ковпака,Київ.,●,,
вулиця Познанська ,Велика Данилівка (аптека),"Паризької Комуни вул., 58",Паризької Комуни вул.,до вул. Ковпака,Київ.,●,,
вулиця Познанська ,Велика Данилівка (аптека),"Паризької Комуни вул., 57",Паризької Комуни вул.,до вул. Колосистої,Київ.,●,,
вулиця Колосиста,Колосиста вул. (колгосп),"Паризької Комуни вул., 112",Паризької Комуни вул.,до Соснового бору,Київ.,●,,
вулиця Колосиста,Колосиста вул. (колгосп),"Паризької Комуни вул., 99а",Паризької Комуни вул.,до Соснового бору,Київ.,●,,
вулиця Латиських Червоних Стрільців,Латиських червоних стрільців,"Паризької Комуни вул., 127а",Паризької Комуни вул.,до Соснового бору,Київ.,●,,
вулиця Латиських Червоних Стрільців,Латиських червоних стрільців,"Паризької Комуни вул., 140",Паризької Комуни вул.,до вул. Ковпака,Київ.,●,,
Велика Данилівка,Сосновий бір,"Паризької Комуни вул., 164",Паризької Комуни вул.,кінцева,Київ.,●,,
